ID,FEN,Expected,EngineMove,Correct,Depth,Time(ms),Nodes,NPS
 1fKK9,"8/6k1/3n4/p5pP/P3B1P1/2p1K3/8/8 w - - 2 50",d6c4,d6c4,YES,12,882,661257,749724
 4SzoH,"7r/pr1bppk1/2pp2p1/8/1P2q3/P2B2Q1/2P3PP/1R3R1K b - - 1 24",f1f7,f1f7,YES,6,1420,561017,395082
 8KdlS,"3r2k1/7p/6p1/p2q1p2/1p1npP2/7P/1Q4P1/B2R3K w - - 4 39",d5d4,d5d4,YES,7,599,300005,500843
 BH8T6,"7r/8/r1k2R1p/8/4P3/1P1P4/2P3PK/8 b - - 1 37",c2c4,c2c4,YES,8,926,486404,525274
 NBUs8,"8/5k2/7R/1p2R1P1/1P6/3b1r1P/4n2K/8 w - - 5 49",f3f2,f3f2,YES,4,41,17395,424268
 OaMLZ,"r2qkb1r/pp2pppp/2n2n2/4P3/5Qb1/2p5/PPP2PPP/R1B1KBNR w KQkq - 0 9",d8d1,d8d1,YES,2,25,7531,301240
 QGNMN,"r1b1kb1r/ppp1qppp/3p1n2/8/3n4/2PP2P1/PP3P1P/RNBQKBNR w KQkq - 1 7",d4f3,d4f3,YES,2,6,2389,398166
 3LDfR,"6k1/1N4p1/2Pnpp1p/8/8/4r3/6PP/2R3K1 b - - 1 32",c6b7,c6b7,YES,8,607,313254,516069
 1RIIp,"8/8/8/6p1/4kp2/6PP/4KP2/8 b - - 0 53",f2g3,f2g3,YES,14,594,453634,763693
 0Mfwh,"2r5/4Q2p/3R1ppk/5b2/2P2P2/P6P/1b3qP1/4RB1K w - - 3 45",b2d4,b2d4,YES,6,1759,699984,397944
 2FBVz,"4r3/5p2/2kP2p1/2p5/1p2R3/4K3/P1P2P1P/8 b - - 0 32",e3e4,e3e4,YES,11,778,425966,547514
 K8Kh1,"r5r1/pp1Q4/4Nkp1/2bP1p1p/1q6/1PN2R2/P1n3PP/7K b - - 12 33",d5d6,d5d6,YES,6,1994,830277,416387
 RpeuX,"6k1/p7/5p2/2Rp1P2/r7/2P1K3/8/8 b - - 2 41",c5c4,c5c4,YES,11,658,449889,683721
 5mHqJ,"8/8/PP5p/8/2pk4/4pK2/1r3p1P/R7 b - - 1 45",a6a7,b6b7,NO,8,769,356009,462950
 FGpCb,"1kb5/8/PP1P1p2/2K5/5ppp/8/6PP/8 b - - 0 44",b6b7,b6b7,YES,11,836,449278,537413
 G5jde,"8/1p3p1p/2p2P1k/p3Pqp1/7P/4QBP1/b6K/8 b - - 2 36",g3g4,g3g4,YES,8,1026,503065,490316
 OUrMZ,"8/6p1/7p/8/1p3PP1/1k6/7P/1K6 w - - 4 36",b3c4,b3c4,YES,14,598,418038,699060
 C2EKq,"8/5p2/1k2p3/2p1P3/2P1P3/2b1B2K/8/8 w - - 3 46",b6a5,b6a5,YES,12,715,506789,708795
 FwjMw,"4r1k1/pRb1rpp1/2q4p/8/P2p2Q1/P1pB2PP/2P2P1K/1R6 b - - 2 33",b1e1,b1e1,YES,5,785,341496,435026
 NTVV2,"4r1k1/5qp1/3R4/p1P3p1/3P1pn1/P2Q2P1/3BrP1P/5RK1 w - - 4 30",f7h5,f7h5,YES,5,1087,385592,354730
 NEYzc,"8/6P1/p4K2/1p1bp1Bk/5P2/P7/8/8 b - - 0 56",f4f5,f4f5,YES,11,885,487511,550859
 PqNwC,"8/8/p1p3pp/1p1k4/4PPP1/1P3K1P/8/8 b - - 0 33",b3b4,b3b4,YES,13,932,597644,641248
 P03Bu,"3kr3/p7/P1Q4P/2KP4/1P2r3/2P5/8/8 w - - 1 51",e8e5,e8e5,YES,9,578,326511,564897
 TRXKr,"8/2p5/p7/8/1PP3p1/P4k2/8/6K1 b - - 0 45",a3a4,a3a4,YES,16,623,544301,873677
 9q4Lb,"4K3/3P4/6pk/8/5q2/8/7p/4Q3 b - - 1 83",e1e5,e1e5,YES,9,1108,639822,577456
 5WAdg,"5rk1/1b3pp1/2p1p2p/1pq1PP1P/rP4Q1/3B4/6P1/3RR2K b - - 1 30",d3e4,e1e4,NO,6,828,348883,421356
